date,station_id,city,temp_max_c,temp_min_c,precipitation_mm,wind_max_kmh
2025-01-01,DXB,Dubai,25.0,18.4,0.70,21.7
2025-01-02,DXB,Dubai,22.6,19.9,0.00,26.1
2025-01-03,DXB,Dubai,21.5,17.6,0.00,17.3
2025-01-04,DXB,Dubai,22.9,13.0,0.00,14.5
2025-01-05,DXB,Dubai,22.8,15.6,0.00,13.1
2025-01-06,DXB,Dubai,25.1,12.5,0.00,16.5
2025-01-07,DXB,Dubai,25.8,14.3,0.00,13.8
2025-01-08,DXB,Dubai,24.1,14.0,0.00,9.9
2025-01-09,DXB,Dubai,22.5,18.0,0.40,11.8
2025-01-10,DXB,Dubai,24.8,14.2,0.00,15.0
2025-01-11,DXB,Dubai,26.9,13.5,0.00,15.7
2025-01-12,DXB,Dubai,24.9,13.8,0.00,10.6
2025-01-13,DXB,Dubai,23.2,17.3,1.90,18.6
2025-01-14,DXB,Dubai,23.5,19.6,0.10,13.6

